25 20
#############            
#.o.........#    ########
#...s...s...######......#
#.............d.d.......#
#...........######......#
#.....s.....#    #......#
#...........#    #......#
#.k.........#    #......#
#####..######    ###..###
    #..#           #..#  
    #..#           #..#  
    #..#         ###..###
  ###..####      #......#
  #..p....#      #......#
  #.......#      #......#
  #.......#      #......#
  #.......#      #......#
  #.......#      #ww....#
  #......o#      #cw....#
  #########      ########
